"AC Chievo Verona","AC Milan","ACF Fiorentina","AS Roma","Atalanta BC","Bologna FC 1909","Cagliari Calcio","Empoli FC","FC Internazionale Milano","Frosinone Calcio","Genoa CFC","Juventus FC","Parma Calcio 1913","SPAL 2013","SS Lazio","SSC Napoli","Torino FC","UC Sampdoria","US Sassuolo Calcio","Udinese Calcio"
"14","12","10","5","1","16","19","2","12","20","11","3","8","7","5","4","18","13","6","9"
"20","17","8","5","4","14","15","10","17","16","9","1","12","3","19","2","13","18","6","7"
"20","14","3","9","6","18","12","8","14","19","15","1","17","4","16","5","10","13","2","11"
"20","14","5","9","13","18","12","16","14","19","7","1","17","2","8","3","10","4","6","11"
"20","12","3","14","13","18","16","17","12","19","11","1","10","6","5","2","15","8","4","7"
"20","13","5","10","14","18","16","17","13","19","7","1","12","8","4","2","15","9","3","11"
"20","11","3","9","16","15","17","18","11","19","6","1","10","13","7","2","12","8","4","14"
"20","10","7","6","17","16","13","18","10","19","11","1","9","14","4","2","12","5","8","15"
"20","12","6","7","15","17","14","18","12","19","9","1","11","13","4","2","10","5","8","16"
"20","5","6","8","14","17","12","18","5","19","10","1","13","15","4","3","11","7","9","16"
"20","4","8","9","10","17","14","18","4","19","13","1","12","15","5","3","7","11","6","16"
"20","5","9","6","8","16","13","18","5","19","14","1","11","15","4","2","10","12","7","17"
"20","5","10","7","9","18","13","17","5","19","14","1","6","15","4","2","11","12","8","16"
"20","4","12","7","11","18","13","17","4","19","14","1","9","15","5","2","6","10","8","16"
"20","4","12","8","7","18","13","14","4","19","15","1","10","16","5","2","6","11","9","17"
"20","4","10","7","6","18","13","14","4","19","16","1","12","15","5","2","11","9","8","17"
"20","5","7","10","9","18","14","15","5","19","13","1","12","16","4","2","11","6","8","17"
"20","6","10","7","9","18","13","16","6","19","14","1","12","15","4","2","8","5","11","17"
"20","5","10","6","8","18","13","17","5","19","14","1","12","16","4","2","9","7","11","15"
"20","4","10","5","7","18","13","17","4","19","14","1","9","16","6","2","11","8","12","15"
"20","4","9","5","7","18","15","17","4","19","13","1","12","14","8","2","10","6","11","16"
"20","4","9","6","5","18","15","17","4","19","13","1","12","14","7","2","10","8","11","16"
"20","4","10","6","5","17","15","18","4","19","13","1","12","14","7","2","8","9","11","16"
"20","4","8","","","","14","","4","19","13","1","12","16","7","2","9","10","11","15"
"20","4","","","","","","","4","","","1","","","","2","","","",""
"","","","","","","","","","","","1","","","","","","","",""
"","","","","","","","","","","","1","","","","","","","",""
